index,CH2_Voltage(mV)
0,4800.00
1,4800.00
2,4800.00
3,4800.00
4,4800.00
5,4800.00
6,4720.00
7,4800.00
8,4880.00
9,4800.00
10,4800.00
11,4800.00
12,4800.00
13,4800.00
14,4800.00
15,4800.00
16,4800.00
17,4800.00
18,4800.00
19,4800.00
20,4800.00
21,4880.00
22,4720.00
23,4800.00
24,4800.00
25,4720.00
26,4800.00
27,4800.00
28,4800.00
29,4800.00
30,4880.00
31,4800.00
32,4800.00
33,4800.00
34,4800.00
35,4800.00
36,4800.00
37,4800.00
38,4800.00
39,4800.00
40,4800.00
41,4800.00
42,4800.00
43,4800.00
44,4800.00
45,4720.00
46,4800.00
47,4800.00
48,4800.00
49,4800.00
50,4800.00
51,4880.00
52,4800.00
53,4800.00
54,4880.00
55,4800.00
56,4800.00
57,4800.00
58,4800.00
59,4800.00
60,4800.00
61,4800.00
62,4800.00
63,4880.00
64,4800.00
65,4800.00
66,4800.00
67,4800.00
68,4800.00
69,4800.00
70,4800.00
71,4880.00
72,4800.00
73,4800.00
74,4880.00
75,4800.00
76,4800.00
77,4880.00
78,4800.00
79,4800.00
80,4800.00
81,4800.00
82,4800.00
83,4800.00
84,4800.00
85,4800.00
86,4720.00
87,4800.00
88,4800.00
89,4800.00
90,4800.00
91,4800.00
92,4800.00
93,4880.00
94,4800.00
95,4800.00
96,4800.00
97,4800.00
98,4800.00
99,4800.00
100,4880.00
101,4880.00
102,4800.00
103,4800.00
104,4800.00
105,4800.00
106,4800.00
107,4800.00
108,4800.00
109,4880.00
110,4800.00
111,4800.00
112,4800.00
113,4800.00
114,4800.00
115,4800.00
116,4800.00
117,4800.00
118,4800.00
119,4800.00
120,4800.00
121,4800.00
122,4800.00
123,4800.00
124,4800.00
125,4800.00
126,4880.00
127,4720.00
128,4800.00
129,4800.00
130,4800.00
131,4800.00
132,4800.00
133,4800.00
134,4800.00
135,4800.00
136,4800.00
137,4800.00
138,4800.00
139,4800.00
140,4800.00
141,4800.00
142,4800.00
143,4800.00
144,4880.00
145,4800.00
146,4800.00
147,4800.00
148,4720.00
149,4800.00
150,4800.00
151,4800.00
152,4800.00
153,4800.00
154,4880.00
155,4800.00
156,4720.00
157,4800.00
158,4800.00
159,4880.00
160,4880.00
161,4800.00
162,4800.00
163,4800.00
164,4800.00
165,4800.00
166,4800.00
167,4800.00
168,4800.00
169,4880.00
170,4800.00
171,4800.00
172,4800.00
173,4880.00
174,4800.00
175,4800.00
176,4800.00
177,4720.00
178,4800.00
179,4800.00
180,4800.00
181,4800.00
182,4800.00
183,4800.00
184,4800.00
185,4800.00
186,4800.00
187,4800.00
188,4800.00
189,4800.00
190,4800.00
191,4800.00
192,4800.00
193,4720.00
194,4800.00
195,4800.00
196,4800.00
197,4800.00
198,4800.00
199,4800.00
200,4720.00
201,4800.00
202,4800.00
203,4800.00
204,4800.00
205,4800.00
206,4800.00
207,4800.00
208,4720.00
209,4800.00
210,4800.00
211,4800.00
212,4720.00
213,4720.00
214,4800.00
215,4800.00
216,4800.00
217,4800.00
218,4800.00
219,4800.00
220,4800.00
221,4880.00
222,4880.00
223,4800.00
224,4800.00
225,4800.00
226,4800.00
227,4800.00
228,4800.00
229,4800.00
230,4800.00
231,4880.00
232,4800.00
233,4800.00
234,4800.00
235,4800.00
236,4800.00
237,4800.00
238,4800.00
239,4800.00
240,4800.00
241,4800.00
242,4800.00
243,4800.00
244,4800.00
245,4880.00
246,4800.00
247,4800.00
248,4800.00
249,4800.00
250,4800.00
251,4800.00
252,4800.00
253,4880.00
254,4880.00
255,4800.00
256,4800.00
257,4800.00
258,4880.00
259,4800.00
260,4880.00
261,4880.00
262,4800.00
263,4800.00
264,4800.00
265,4800.00
266,4800.00
267,4800.00
268,4800.00
269,4800.00
270,4800.00
271,4800.00
272,4720.00
273,4800.00
274,4720.00
275,4800.00
276,4800.00
277,4800.00
278,4800.00
279,4800.00
280,4800.00
281,4800.00
282,4800.00
283,4800.00
284,4800.00
285,4800.00
286,4800.00
287,4800.00
288,4800.00
289,4800.00
290,4800.00
291,4800.00
292,4800.00
293,4880.00
294,4800.00
295,4800.00
296,4800.00
297,4800.00
298,4880.00
299,4800.00
300,4800.00
301,4800.00
302,4800.00
303,4800.00
304,4800.00
305,4800.00
306,4800.00
307,4880.00
308,4800.00
309,4800.00
310,4800.00
311,4880.00
312,4800.00
313,4720.00
314,4800.00
315,4800.00
316,4800.00
317,4800.00
318,4720.00
319,4800.00
320,4880.00
321,4800.00
322,4800.00
323,4720.00
324,4800.00
325,4800.00
326,4800.00
327,4800.00
328,4800.00
329,4800.00
330,4800.00
331,4800.00
332,4800.00
333,4800.00
334,4800.00
335,4800.00
336,4880.00
337,4800.00
338,4800.00
339,4800.00
340,4800.00
341,4800.00
342,4800.00
343,4800.00
344,4720.00
345,4800.00
346,4800.00
347,4800.00
348,4800.00
349,4800.00
350,4880.00
351,4800.00
352,4800.00
353,4800.00
354,4800.00
355,4800.00
356,4800.00
357,4800.00
358,4720.00
359,4800.00
360,4800.00
361,4880.00
362,4800.00
363,4880.00
364,4800.00
365,4800.00
366,4800.00
367,4800.00
368,4800.00
369,4880.00
370,4880.00
371,4800.00
372,4800.00
373,4800.00
374,4800.00
375,4800.00
376,4800.00
377,4800.00
378,4800.00
379,4800.00
380,4880.00
381,4800.00
382,4800.00
383,4800.00
384,4800.00
385,4800.00
386,4800.00
387,4800.00
388,4800.00
389,4720.00
390,4800.00
391,4800.00
392,4800.00
393,4800.00
394,4720.00
395,4800.00
396,4800.00
397,4800.00
398,4800.00
399,4800.00
400,4800.00
401,4800.00
402,4800.00
403,4800.00
404,4800.00
405,4800.00
406,4800.00
