Channel			  :,CH2
Frequency			  :,F=411.7kHz
Period 			  :,T=  ?
PK-PK				  :,Vpp=5.680V
Average			  :,V=3.514V
Vertical pos		  :,-4000.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,0.08uS

index,CH2_Voltage(mV)
0,4800.00
1,4800.00
2,4800.00
3,4720.00
4,4800.00
5,4800.00
6,4800.00
7,4880.00
8,4800.00
9,4720.00
10,4800.00
11,4800.00
12,4800.00
13,4880.00
14,4800.00
15,4800.00
16,4720.00
17,4800.00
18,4800.00
19,4720.00
20,4800.00
21,4720.00
22,4880.00
23,4880.00
24,4800.00
25,4720.00
26,4800.00
27,0.00
28,80.00
29,160.00
30,80.00
31,160.00
32,160.00
33,0.00
34,80.00
35,160.00
36,160.00
37,80.00
38,160.00
39,4800.00
40,4880.00
41,4800.00
42,4720.00
43,4800.00
44,4880.00
45,4880.00
46,4720.00
47,4720.00
48,4960.00
49,4800.00
50,4880.00
51,4720.00
52,4720.00
53,4720.00
54,4800.00
55,4720.00
56,4720.00
57,4800.00
58,4800.00
59,4800.00
60,4720.00
61,4960.00
62,4720.00
63,4800.00
64,4800.00
65,4800.00
66,4880.00
67,4880.00
68,4800.00
69,4880.00
70,4800.00
71,4720.00
72,4800.00
73,4720.00
74,4720.00
75,240.00
76,0.00
77,0.00
78,0.00
79,0.00
80,80.00
81,-80.00
82,80.00
83,80.00
84,0.00
85,80.00
86,0.00
87,4160.00
88,4880.00
89,4800.00
90,4800.00
91,4800.00
92,4720.00
93,4720.00
94,4880.00
95,4880.00
96,4720.00
97,4880.00
98,4800.00
99,4800.00
100,4880.00
101,4800.00
102,4800.00
103,4800.00
104,4880.00
105,4880.00
106,4720.00
107,4640.00
108,4800.00
109,4800.00
110,4720.00
111,4800.00
112,4720.00
113,4720.00
114,4800.00
115,4800.00
116,4800.00
117,4800.00
118,4720.00
119,4800.00
120,4720.00
121,4800.00
122,4800.00
123,-720.00
124,80.00
125,0.00
126,0.00
127,0.00
128,80.00
129,0.00
130,0.00
131,0.00
132,0.00
133,0.00
134,0.00
135,3840.00
136,4880.00
137,4880.00
138,4800.00
139,4800.00
140,4800.00
141,4800.00
142,4880.00
143,4880.00
144,4800.00
145,4800.00
146,4640.00
147,4800.00
148,4720.00
149,4800.00
150,4800.00
151,4720.00
152,4720.00
153,4880.00
154,4880.00
155,4720.00
156,4880.00
157,4800.00
158,4880.00
159,4720.00
160,4880.00
161,4720.00
162,4720.00
163,4800.00
164,4800.00
165,4720.00
166,4880.00
167,4960.00
168,4800.00
169,4800.00
170,4880.00
171,80.00
172,0.00
173,80.00
174,0.00
175,160.00
176,0.00
177,0.00
178,80.00
179,80.00
180,160.00
181,-80.00
182,160.00
183,4080.00
184,4800.00
185,4800.00
186,4880.00
187,4880.00
188,4800.00
189,4880.00
190,4800.00
191,4720.00
192,4800.00
193,4800.00
194,4720.00
195,4800.00
196,4720.00
197,4800.00
198,4720.00
199,4720.00
200,4800.00
201,4880.00
202,4720.00
203,4720.00
204,4720.00
205,4800.00
206,4800.00
207,4720.00
208,4720.00
209,4880.00
210,4720.00
211,4800.00
212,4640.00
213,4800.00
214,4720.00
215,4800.00
216,4880.00
217,4720.00
218,4800.00
219,4800.00
220,4880.00
221,1680.00
222,-80.00
223,160.00
224,160.00
225,80.00
226,160.00
227,80.00
228,80.00
229,80.00
230,160.00
231,80.00
232,160.00
233,3280.00
234,4800.00
235,4720.00
236,4720.00
237,4800.00
238,4720.00
239,4720.00
240,4720.00
241,4800.00
242,4800.00
243,4720.00
244,4800.00
245,4800.00
246,4880.00
247,4720.00
248,4720.00
249,4720.00
250,4800.00
251,4640.00
252,4800.00
253,4720.00
254,4880.00
255,4800.00
256,4800.00
257,4800.00
258,4800.00
259,4720.00
260,4880.00
261,4640.00
262,4800.00
263,4720.00
264,4880.00
265,4880.00
266,4800.00
267,4880.00
268,4880.00
269,4800.00
270,1760.00
271,0.00
272,0.00
273,80.00
274,0.00
275,-80.00
276,160.00
277,0.00
278,80.00
279,0.00
280,0.00
281,160.00
282,2960.00
283,4800.00
284,4800.00
285,4880.00
286,4800.00
287,4720.00
288,4720.00
289,4880.00
290,4880.00
291,4720.00
292,4800.00
293,4800.00
294,4800.00
295,4880.00
296,4640.00
297,4720.00
298,4800.00
299,4720.00
300,4720.00
301,4800.00
302,4800.00
303,4800.00
304,4880.00
305,4800.00
306,4800.00
307,4800.00
308,4720.00
309,4720.00
310,4720.00
311,4720.00
312,4720.00
313,4720.00
314,4800.00
315,4720.00
316,4720.00
317,4880.00
318,4720.00
319,4800.00
320,4720.00
321,4800.00
322,4880.00
323,3920.00
324,0.00
325,80.00
326,0.00
327,-80.00
328,0.00
329,0.00
330,-80.00
331,0.00
332,-80.00
333,0.00
334,0.00
335,2320.00
336,4800.00
337,4800.00
338,4880.00
339,4800.00
340,4720.00
341,4880.00
342,4880.00
343,4720.00
344,4800.00
345,4880.00
346,4720.00
347,4800.00
348,4720.00
349,4800.00
350,4880.00
351,4880.00
352,4880.00
353,4720.00
354,4800.00
355,4720.00
356,4800.00
357,4800.00
358,4800.00
359,4800.00
360,4880.00
361,4720.00
362,4800.00
363,4640.00
364,4720.00
365,4800.00
366,4800.00
367,4720.00
368,4800.00
369,4800.00
370,4720.00
371,4720.00
372,4800.00
373,4640.00
374,4720.00
375,4880.00
376,4800.00
377,4720.00
378,4800.00
379,4720.00
380,4800.00
381,4880.00
382,4720.00
383,4720.00
384,4720.00
385,4720.00
386,4880.00
387,4720.00
388,4880.00
389,4640.00
390,4720.00
391,4800.00
392,4640.00
393,4800.00
