Channel			  :,CH2
Frequency			  :,F=937.6kHz
Period 			  :,T=  ?
PK-PK				  :,Vpp=6.880V
Average			  :,V=4.244V
Vertical pos		  :,-4000.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,0.02uS

index,CH2_Voltage(mV)
0,4800.00
1,4800.00
2,4640.00
3,4800.00
4,4800.00
5,4800.00
6,4720.00
7,4800.00
8,4800.00
9,4800.00
10,4800.00
11,4800.00
12,4720.00
13,4800.00
14,4880.00
15,4800.00
16,4800.00
17,4800.00
18,4800.00
19,4800.00
20,4800.00
21,4880.00
22,4720.00
23,4720.00
24,4800.00
25,4800.00
26,4800.00
27,4720.00
28,4880.00
29,4720.00
30,4720.00
31,4800.00
32,4720.00
33,4800.00
34,4880.00
35,4720.00
36,4800.00
37,4800.00
38,4800.00
39,4720.00
40,4800.00
41,4880.00
42,4720.00
43,4960.00
44,4880.00
45,4800.00
46,4800.00
47,4880.00
48,4800.00
49,4800.00
50,4720.00
51,4800.00
52,4640.00
53,4720.00
54,4720.00
55,4800.00
56,4880.00
57,4880.00
58,4800.00
59,4800.00
60,4800.00
61,4720.00
62,4720.00
63,4720.00
64,4880.00
65,4800.00
66,4720.00
67,4880.00
68,4720.00
69,4800.00
70,4800.00
71,4800.00
72,4880.00
73,4720.00
74,4800.00
75,4800.00
76,4800.00
77,4720.00
78,4720.00
79,4800.00
80,4800.00
81,4800.00
82,4880.00
83,4720.00
84,4720.00
85,4800.00
86,4720.00
87,4720.00
88,4800.00
89,4880.00
90,4800.00
91,4720.00
92,4720.00
93,4800.00
94,4880.00
95,4800.00
96,4800.00
97,4720.00
98,4880.00
99,4720.00
100,4800.00
101,4800.00
102,4720.00
103,4640.00
104,4720.00
105,4800.00
106,4720.00
107,4720.00
108,4800.00
109,4800.00
110,4800.00
111,4720.00
112,4800.00
113,4720.00
114,4960.00
115,4800.00
116,4800.00
117,4640.00
118,4800.00
119,4960.00
120,4720.00
121,4720.00
122,4640.00
123,4800.00
124,4800.00
125,4800.00
126,4800.00
127,4800.00
128,4720.00
